Name,Source,HitDice,Proficiency,StartingProficiencies,StartingEquipment,ClassFeatures,Multiclassing
Cleric,XPHB,8,"[""wis"", ""cha""]","{""armor"": [""light"", ""medium"", ""shield""], ""weapons"": [""simple""], ""skills"": [{""choose"": {""from"": [""history"", ""insight"", ""medicine"", ""persuasion"", ""religion""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""defaultData"": [{""A"": [{""item"": ""chain shirt|xphb""}, {""item"": ""shield|xphb""}, {""item"": ""mace|xphb""}, {""item"": ""holy symbol|xphb""}, {""item"": ""priest's pack|xphb""}, {""value"": 7000}], ""B"": [{""value"": 11000}]}], ""entries"": [""{@i Choose A or B:} (A) {@item Chain Shirt|XPHB}, {@item Shield|XPHB}, {@item Mace|XPHB}, {@item Holy Symbol|XPHB}, {@item Priest's Pack|XPHB}, 7 GP; or (B) 110 GP""]}","[""Spellcasting|Cleric|XPHB|1"", ""Divine Order|Cleric|XPHB|1"", ""Channel Divinity|Cleric|XPHB|2"", {""classFeature"": ""Cleric Subclass|Cleric|XPHB|3"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Cleric|XPHB|4"", ""Sear Undead|Cleric|XPHB|5"", {""classFeature"": ""Subclass Feature|Cleric|XPHB|6"", ""gainSubclassFeature"": true}, ""Blessed Strikes|Cleric|XPHB|7"", ""Ability Score Improvement|Cleric|XPHB|8"", ""Divine Intervention|Cleric|XPHB|10"", ""Ability Score Improvement|Cleric|XPHB|12"", ""Improved Blessed Strikes|Cleric|XPHB|14"", ""Ability Score Improvement|Cleric|XPHB|16"", {""classFeature"": ""Subclass Feature|Cleric|XPHB|17"", ""gainSubclassFeature"": true}, ""Epic Boon|Cleric|XPHB|19"", ""Greater Divine Intervention|Cleric|XPHB|20""]","{""proficienciesGained"": {""armor"": [""light"", ""medium"", ""shield""]}}"
Barbarian,XPHB,12,"[""str"", ""con""]","{""armor"": [""light"", ""medium"", ""shield""], ""weapons"": [""simple"", ""martial""], ""skills"": [{""choose"": {""from"": [""animal handling"", ""athletics"", ""intimidation"", ""nature"", ""perception"", ""survival""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""defaultData"": [{""A"": [{""item"": ""greataxe|xphb""}, {""item"": ""handaxe|xphb"", ""quantity"": 4}, {""item"": ""explorer's pack|xphb""}, {""value"": 1500}], ""B"": [{""value"": 7500}]}], ""entries"": [""{@i Choose A or B:} (A) {@item Greataxe|XPHB}, 4 {@item Handaxe|XPHB|Handaxes}, {@item Explorer's Pack|XPHB}, and 15 GP; or (B) 75 GP""]}","[""Rage|Barbarian|XPHB|1"", ""Unarmored Defense|Barbarian|XPHB|1"", ""Weapon Mastery|Barbarian|XPHB|1"", ""Danger Sense|Barbarian|XPHB|2"", ""Reckless Attack|Barbarian|XPHB|2"", {""classFeature"": ""Barbarian Subclass|Barbarian|XPHB|3"", ""gainSubclassFeature"": true}, ""Primal Knowledge|Barbarian|XPHB|3"", ""Ability Score Improvement|Barbarian|XPHB|4"", ""Extra Attack|Barbarian|XPHB|5"", ""Fast Movement|Barbarian|XPHB|5"", {""classFeature"": ""Subclass Feature|Barbarian|XPHB|6"", ""gainSubclassFeature"": true}, ""Feral Instinct|Barbarian|XPHB|7"", ""Instinctive Pounce|Barbarian|XPHB|7"", ""Ability Score Improvement|Barbarian|XPHB|8"", ""Brutal Strike|Barbarian|XPHB|9"", {""classFeature"": ""Subclass Feature|Barbarian|XPHB|10"", ""gainSubclassFeature"": true}, ""Relentless Rage|Barbarian|XPHB|11"", ""Ability Score Improvement|Barbarian|XPHB|12"", ""Improved Brutal Strike|Barbarian|XPHB|13"", {""classFeature"": ""Subclass Feature|Barbarian|XPHB|14"", ""gainSubclassFeature"": true}, ""Persistent Rage|Barbarian|XPHB|15"", ""Ability Score Improvement|Barbarian|XPHB|16"", ""Improved Brutal Strike|Barbarian|XPHB|17"", ""Indomitable Might|Barbarian|XPHB|18"", ""Epic Boon|Barbarian|XPHB|19"", ""Primal Champion|Barbarian|XPHB|20""]","{""proficienciesGained"": {""armor"": [""shield""], ""weapons"": [""martial""]}}"
Sorcerer,XPHB,6,"[""con"", ""cha""]","{""weapons"": [""simple""], ""skills"": [{""choose"": {""from"": [""arcana"", ""deception"", ""insight"", ""intimidation"", ""persuasion"", ""religion""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""defaultData"": [{""A"": [{""item"": ""spear|xphb""}, {""item"": ""dagger|xphb"", ""quantity"": 2}, {""item"": ""crystal|xphb""}, {""item"": ""dungeoneer's pack|xphb""}, {""value"": 2800}], ""B"": [{""value"": 5000}]}], ""entries"": [""{@i Choose A or B:} (A) {@item Spear|XPHB}, 2 {@item Dagger|XPHB|Daggers}, {@item Arcane Focus|XPHB} ({@item crystal|XPHB}), {@item Dungeoneer's Pack|XPHB}, and 28 GP; or (B) 50 GP""]}","[""Spellcasting|Sorcerer|XPHB|1"", ""Innate Sorcery|Sorcerer|XPHB|1"", ""Font of Magic|Sorcerer|XPHB|2"", ""Metamagic|Sorcerer|XPHB|2"", ""Metamagic Options|Sorcerer|XPHB|2"", {""classFeature"": ""Sorcerer Subclass|Sorcerer|XPHB|3"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Sorcerer|XPHB|4"", ""Sorcerous Restoration|Sorcerer|XPHB|5"", {""classFeature"": ""Subclass Feature|Sorcerer|XPHB|6"", ""gainSubclassFeature"": true}, ""Sorcery Incarnate|Sorcerer|XPHB|7"", ""Ability Score Improvement|Sorcerer|XPHB|8"", ""Metamagic|Sorcerer|XPHB|10"", ""Ability Score Improvement|Sorcerer|XPHB|12"", {""classFeature"": ""Subclass Feature|Sorcerer|XPHB|14"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Sorcerer|XPHB|16"", ""Metamagic|Sorcerer|XPHB|17"", {""classFeature"": ""Subclass Feature|Sorcerer|XPHB|18"", ""gainSubclassFeature"": true}, ""Epic Boon|Sorcerer|XPHB|19"", ""Arcane Apotheosis|Sorcerer|XPHB|20""]",
Bard,XPHB,8,"[""dex"", ""cha""]","{""armor"": [""light""], ""weapons"": [""simple""], ""tools"": [""Choose three {@item Musical Instrument|XPHB|Musical Instruments}""], ""toolProficiencies"": [{""anyMusicalInstrument"": 3}], ""skills"": [{""any"": 3}]}","{""additionalFromBackground"": true, ""defaultData"": [{""A"": [{""item"": ""leather armor|xphb""}, {""item"": ""dagger|xphb"", ""quantity"": 2}, {""equipmentType"": ""instrumentMusical""}, {""item"": ""entertainer's pack|xphb""}, {""value"": 1900}], ""B"": [{""value"": 9000}]}], ""entries"": [""{@i Choose A or B:} (A) {@item Leather Armor|XPHB}, 2 {@item Dagger|XPHB}, {@item Musical Instrument|XPHB} of your choice, {@item Entertainer's Pack|XPHB}, 19 GP; or (B) 90 GP""]}","[""Bardic Inspiration|Bard|XPHB|1"", ""Spellcasting|Bard|XPHB|1"", ""Expertise|Bard|XPHB|2"", ""Jack of All Trades|Bard|XPHB|2"", {""classFeature"": ""Bard Subclass|Bard|XPHB|3"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Bard|XPHB|4"", ""Font of Inspiration|Bard|XPHB|5"", {""classFeature"": ""Subclass Feature|Bard|XPHB|6"", ""gainSubclassFeature"": true}, ""Countercharm|Bard|XPHB|7"", ""Ability Score Improvement|Bard|XPHB|8"", ""Expertise|Bard|XPHB|9"", ""Magical Secrets|Bard|XPHB|10"", ""Ability Score Improvement|Bard|XPHB|12"", {""classFeature"": ""Subclass Feature|Bard|XPHB|14"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Bard|XPHB|16"", ""Superior Inspiration|Bard|XPHB|18"", ""Epic Boon|Bard|XPHB|19"", ""Words of Creation|Bard|XPHB|20""]","{""proficienciesGained"": {""armor"": [""light""], ""tools"": [""Choose one {@item Musical Instrument|XPHB}""], ""toolProficiencies"": [{""anyMusicalInstrument"": 1}], ""skills"": [{""choose"": {""from"": [""athletics"", ""acrobatics"", ""sleight of hand"", ""stealth"", ""arcana"", ""history"", ""investigation"", ""nature"", ""religion"", ""animal handling"", ""insight"", ""medicine"", ""perception"", ""survival"", ""deception"", ""intimidation"", ""performance"", ""persuasion""], ""count"": 1}}]}}"
Fighter,XPHB,10,"[""str"", ""con""]","{""armor"": [""light"", ""medium"", ""heavy"", ""shield""], ""weapons"": [""simple"", ""martial""], ""skills"": [{""choose"": {""from"": [""acrobatics"", ""animal handling"", ""athletics"", ""history"", ""insight"", ""intimidation"", ""persuasion"", ""perception"", ""survival""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""defaultData"": [{""A"": [{""item"": ""chain mail|xphb""}, {""item"": ""greatsword|xphb""}, {""item"": ""flail|xphb""}, {""item"": ""javelin|xphb"", ""quantity"": 8}, {""item"": ""dungeoneer's pack|xphb""}, {""value"": 400}], ""B"": [{""item"": ""studded leather armor|xphb""}, {""item"": ""scimitar|xphb""}, {""item"": ""shortsword|xphb""}, {""item"": ""longbow|xphb""}, {""item"": ""arrows (20)|xphb""}, {""item"": ""quiver|xphb""}, {""item"": ""dungeoneer's pack|xphb""}, {""value"": 1100}], ""C"": [{""value"": 15500}]}], ""entries"": [""{@i Choose A, B, or C:} (A) {@item Chain Mail|XPHB}, {@item Greatsword|XPHB}, {@item Flail|XPHB}, 8 {@item Javelin|XPHB|Javelins}, {@item Dungeoneer's Pack|XPHB}, and 4 GP; (B) {@item Studded Leather Armor|XPHB}, {@item Scimitar|XPHB}, {@item Shortsword|XPHB}, {@item Longbow|XPHB}, {@item Arrows (20)|XPHB|20 Arrows}, {@item Quiver|XPHB}, {@item Dungeoneer's Pack|XPHB}, and 11 GP; or (C) 155 GP""]}","[""Fighting Style|Fighter|XPHB|1"", ""Second Wind|Fighter|XPHB|1"", ""Weapon Mastery|Fighter|XPHB|1"", ""Action Surge|Fighter|XPHB|2"", ""Tactical Mind|Fighter|XPHB|2"", {""classFeature"": ""Fighter Subclass|Fighter|XPHB|3"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Fighter|XPHB|4"", ""Extra Attack|Fighter|XPHB|5"", ""Tactical Shift|Fighter|XPHB|5"", ""Ability Score Improvement|Fighter|XPHB|6"", {""classFeature"": ""Subclass Feature|Fighter|XPHB|7"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Fighter|XPHB|8"", ""Indomitable|Fighter|XPHB|9"", ""Tactical Master|Fighter|XPHB|9"", {""classFeature"": ""Subclass Feature|Fighter|XPHB|10"", ""gainSubclassFeature"": true}, ""Two Extra Attacks|Fighter|XPHB|11"", ""Ability Score Improvement|Fighter|XPHB|12"", ""Indomitable|Fighter|XPHB|13"", ""Studied Attacks|Fighter|XPHB|13"", ""Ability Score Improvement|Fighter|XPHB|14"", {""classFeature"": ""Subclass Feature|Fighter|XPHB|15"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Fighter|XPHB|16"", ""Action Surge|Fighter|XPHB|17"", ""Indomitable|Fighter|XPHB|17"", {""classFeature"": ""Subclass Feature|Fighter|XPHB|18"", ""gainSubclassFeature"": true}, ""Epic Boon|Fighter|XPHB|19"", ""Three Extra Attacks|Fighter|XPHB|20""]","{""proficienciesGained"": {""armor"": [""light"", ""medium"", ""shield""], ""weapons"": [""martial""]}}"
Wizard,XPHB,6,"[""int"", ""wis""]","{""weapons"": [""simple""], ""skills"": [{""choose"": {""from"": [""arcana"", ""history"", ""insight"", ""investigation"", ""medicine"", ""nature"", ""religion""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""defaultData"": [{""A"": [{""item"": ""dagger|xphb"", ""quantity"": 2}, {""item"": ""quarterstaff|xphb""}, {""item"": ""robe|xphb""}, {""special"": ""Spellbook""}, {""item"": ""scholar's pack|xphb""}, {""value"": 500}], ""B"": [{""value"": 5500}]}], ""entries"": [""{@i Choose A or B:} (A) 2 {@item Dagger|XPHB|Daggers}, {@item Arcane Focus|XPHB} ({@item Quarterstaff|XPHB}), {@item Robe|XPHB}, Spellbook, {@item Scholar's Pack|XPHB}, and 5 GP; or (B) 55 GP""]}","[""Spellcasting|Wizard|XPHB|1"", ""Ritual Adept|Wizard|XPHB|1"", ""Arcane Recovery|Wizard|XPHB|1"", ""Scholar|Wizard|XPHB|2"", {""classFeature"": ""Wizard Subclass|Wizard|XPHB|3"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Wizard|XPHB|4"", ""Memorize Spell|Wizard|XPHB|5"", {""classFeature"": ""Subclass Feature|Wizard|XPHB|6"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Wizard|XPHB|8"", {""classFeature"": ""Subclass Feature|Wizard|XPHB|10"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Wizard|XPHB|12"", {""classFeature"": ""Subclass Feature|Wizard|XPHB|14"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Wizard|XPHB|16"", ""Spell Mastery|Wizard|XPHB|18"", ""Epic Boon|Wizard|XPHB|19"", ""Signature Spells|Wizard|XPHB|20""]",
Monk,XPHB,8,"[""str"", ""dex""]","{""weapons"": [""simple"", ""Martial weapons that have the {@filter Light|items|type=martial weapon|property=light} property""], ""weaponProficiencies"": [{""simple"": true, ""all"": {""fromFilter"": ""type=martial weapon|property=light""}}], ""tools"": [""Choose one type of {@item Artisan's Tools|XPHB} or {@item Musical Instrument|XPHB}""], ""toolProficiencies"": [{""anyArtisansTool"": 1}, {""anyMusicalInstrument"": 1}], ""skills"": [{""choose"": {""from"": [""acrobatics"", ""athletics"", ""history"", ""insight"", ""religion"", ""stealth""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""defaultData"": [{""A"": [{""item"": ""spear|xphb""}, {""item"": ""dagger|xphb"", ""quantity"": 5}, {""equipmentTypes"": [""instrumentMusical"", ""toolArtisan""]}, {""item"": ""explorer's pack|xphb""}, {""value"": 1100}], ""B"": [{""value"": 5000}]}], ""entries"": [""{@i Choose A or B:} (A) {@item Spear|XPHB}, 5 {@item Dagger|XPHB|Daggers}, {@item Artisan's Tools|XPHB} or {@item Musical Instrument|XPHB} chosen for the tool proficiency above, {@item Explorer's Pack|XPHB}, and 11 GP; or (B) 50 GP""]}","[""Martial Arts|Monk|XPHB|1"", ""Unarmored Defense|Monk|XPHB|1"", ""Monk's Focus|Monk|XPHB|2"", ""Unarmored Movement|Monk|XPHB|2"", ""Uncanny Metabolism|Monk|XPHB|2"", ""Deflect Attacks|Monk|XPHB|3"", {""classFeature"": ""Monk Subclass|Monk|XPHB|3"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Monk|XPHB|4"", ""Slow Fall|Monk|XPHB|4"", ""Extra Attack|Monk|XPHB|5"", ""Stunning Strike|Monk|XPHB|5"", ""Empowered Strikes|Monk|XPHB|6"", {""classFeature"": ""Subclass Feature|Monk|XPHB|6"", ""gainSubclassFeature"": true}, ""Evasion|Monk|XPHB|7"", ""Ability Score Improvement|Monk|XPHB|8"", ""Acrobatic Movement|Monk|XPHB|9"", ""Heightened Focus|Monk|XPHB|10"", ""Self-Restoration|Monk|XPHB|10"", {""classFeature"": ""Subclass Feature|Monk|XPHB|11"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Monk|XPHB|12"", ""Deflect Energy|Monk|XPHB|13"", ""Disciplined Survivor|Monk|XPHB|14"", ""Perfect Focus|Monk|XPHB|15"", ""Ability Score Improvement|Monk|XPHB|16"", {""classFeature"": ""Subclass Feature|Monk|XPHB|17"", ""gainSubclassFeature"": true}, ""Superior Defense|Monk|XPHB|18"", ""Epic Boon|Monk|XPHB|19"", ""Body and Mind|Monk|XPHB|20""]",
Rogue,XPHB,8,"[""dex"", ""int""]","{""armor"": [""light""], ""weapons"": [""simple"", ""Martial weapons that have the {@filter Finesse or Light|items|type=martial weapon|property=finesse;light} property""], ""weaponProficiencies"": [{""simple"": true, ""all"": {""fromFilter"": ""type=martial weapon|property=light;finesse""}}], ""tools"": [""{@item Thieves' Tools|XPHB}""], ""toolProficiencies"": [{""thieves' tools"": true}], ""skills"": [{""choose"": {""from"": [""acrobatics"", ""athletics"", ""deception"", ""insight"", ""intimidation"", ""investigation"", ""perception"", ""persuasion"", ""sleight of hand"", ""stealth""], ""count"": 4}}]}","{""additionalFromBackground"": true, ""defaultData"": [{""A"": [{""item"": ""leather armor|xphb""}, {""item"": ""dagger|xphb"", ""quantity"": 2}, {""item"": ""shortsword|xphb""}, {""item"": ""shortbow|xphb""}, {""item"": ""arrows (20)|xphb""}, {""item"": ""quiver|xphb""}, {""item"": ""thieves' tools|xphb""}, {""item"": ""burglar's pack|xphb""}, {""value"": 800}], ""B"": [{""value"": 10000}]}], ""entries"": [""{@i Choose A or B:} (A) {@item Leather Armor|XPHB}, 2 {@item Dagger|XPHB|Daggers}, {@item Shortsword|XPHB}, {@item Shortbow|XPHB}, {@item Arrows (20)|XPHB|20 Arrows}, {@item Quiver|XPHB}, {@item Thieves' Tools|XPHB}, {@item Burglar's Pack|XPHB}, and 8 GP; or (B) 100 GP""]}","[""Expertise|Rogue|XPHB|1"", ""Sneak Attack|Rogue|XPHB|1"", ""Thieves' Cant|Rogue|XPHB|1"", ""Weapon Mastery|Rogue|XPHB|1"", ""Cunning Action|Rogue|XPHB|2"", {""classFeature"": ""Rogue Subclass|Rogue|XPHB|3"", ""gainSubclassFeature"": true}, ""Steady Aim|Rogue|XPHB|3"", ""Ability Score Improvement|Rogue|XPHB|4"", ""Cunning Strike|Rogue|XPHB|5"", ""Uncanny Dodge|Rogue|XPHB|5"", ""Expertise|Rogue|XPHB|6"", ""Evasion|Rogue|XPHB|7"", ""Reliable Talent|Rogue|XPHB|7"", ""Ability Score Improvement|Rogue|XPHB|8"", {""classFeature"": ""Subclass Feature|Rogue|XPHB|9"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Rogue|XPHB|10"", ""Improved Cunning Strike|Rogue|XPHB|11"", ""Ability Score Improvement|Rogue|XPHB|12"", {""classFeature"": ""Subclass Feature|Rogue|XPHB|13"", ""gainSubclassFeature"": true}, ""Devious Strikes|Rogue|XPHB|14"", ""Slippery Mind|Rogue|XPHB|15"", ""Ability Score Improvement|Rogue|XPHB|16"", {""classFeature"": ""Subclass Feature|Rogue|XPHB|17"", ""gainSubclassFeature"": true}, ""Elusive|Rogue|XPHB|18"", ""Epic Boon|Rogue|XPHB|19"", ""Stroke of Luck|Rogue|XPHB|20""]","{""proficienciesGained"": {""armor"": [""light""], ""tools"": [""{@item Thieves' Tools|XPHB}""], ""toolProficiencies"": [{""thieves' tools"": true}], ""skills"": [{""choose"": {""from"": [""acrobatics"", ""athletics"", ""deception"", ""insight"", ""intimidation"", ""investigation"", ""perception"", ""persuasion"", ""sleight of hand"", ""stealth""], ""count"": 1}}]}}"
Ranger,XPHB,10,"[""str"", ""dex""]","{""armor"": [""light"", ""medium"", ""shield""], ""weapons"": [""simple"", ""martial""], ""skills"": [{""choose"": {""from"": [""animal handling"", ""athletics"", ""insight"", ""investigation"", ""nature"", ""perception"", ""stealth"", ""survival""], ""count"": 3}}]}","{""additionalFromBackground"": true, ""defaultData"": [{""A"": [{""item"": ""studded leather armor|xphb""}, {""item"": ""scimitar|xphb""}, {""item"": ""shortsword|xphb""}, {""item"": ""longbow|xphb""}, {""item"": ""arrows (20)|xphb""}, {""item"": ""quiver|xphb""}, {""item"": ""sprig of mistletoe|xphb""}, {""item"": ""explorer's pack|xphb""}, {""value"": 700}], ""B"": [{""value"": 15000}]}], ""entries"": [""{@i Choose A or B:} (A) {@item Studded Leather Armor|XPHB}, {@item Scimitar|XPHB}, {@item Shortsword|XPHB}, {@item Longbow|XPHB}, {@item Arrows (20)|XPHB|20 Arrows}, {@item Quiver|XPHB}, {@item Druidic Focus|XPHB} ({@item sprig of mistletoe|XPHB}), {@item Explorer's Pack|XPHB}, and 7 GP; or (B) 150 GP""]}","[""Spellcasting|Ranger|XPHB|1"", ""Favored Enemy|Ranger|XPHB|1"", ""Weapon Mastery|Ranger|XPHB|1"", ""Deft Explorer|Ranger|XPHB|2"", ""Fighting Style|Ranger|XPHB|2"", {""classFeature"": ""Ranger Subclass|Ranger|XPHB|3"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Ranger|XPHB|4"", ""Extra Attack|Ranger|XPHB|5"", ""Roving|Ranger|XPHB|6"", {""classFeature"": ""Subclass Feature|Ranger|XPHB|7"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Ranger|XPHB|8"", ""Expertise|Ranger|XPHB|9"", ""Tireless|Ranger|XPHB|10"", {""classFeature"": ""Subclass Feature|Ranger|XPHB|11"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Ranger|XPHB|12"", ""Relentless Hunter|Ranger|XPHB|13"", ""Nature's Veil|Ranger|XPHB|14"", {""classFeature"": ""Subclass Feature|Ranger|XPHB|15"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Ranger|XPHB|16"", ""Precise Hunter|Ranger|XPHB|17"", ""Feral Senses|Ranger|XPHB|18"", ""Epic Boon|Ranger|XPHB|19"", ""Foe Slayer|Ranger|XPHB|20""]","{""proficienciesGained"": {""weapons"": [""martial""], ""armor"": [""light"", ""medium"", ""shield""], ""skills"": [{""choose"": {""from"": [""animal handling"", ""athletics"", ""insight"", ""investigation"", ""nature"", ""perception"", ""stealth"", ""survival""], ""count"": 1}}]}}"
Warlock,XPHB,8,"[""wis"", ""cha""]","{""armor"": [""light""], ""weapons"": [""simple""], ""skills"": [{""choose"": {""from"": [""arcana"", ""deception"", ""history"", ""intimidation"", ""investigation"", ""nature"", ""religion""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""defaultData"": [{""A"": [{""item"": ""leather armor|xphb""}, {""item"": ""sickle|xphb""}, {""item"": ""dagger|xphb"", ""quantity"": 2}, {""item"": ""orb|xphb""}, {""item"": ""book|xphb""}, {""item"": ""scholar's pack|xphb""}, {""value"": 1500}], ""B"": [{""value"": 10000}]}], ""entries"": [""{@i Choose A or B:} (A) {@item Leather Armor|XPHB}, {@item Sickle|XPHB}, 2 {@item Dagger|XPHB|Daggers}, {@item Arcane Focus|XPHB} ({@item orb|XPHB}), {@item Book|XPHB} (occult lore), {@item Scholar's Pack|XPHB}, and 15 GP; or (B) 100 GP""]}","[""Eldritch Invocations|Warlock|XPHB|1"", ""Pact Magic|Warlock|XPHB|1"", ""Eldritch Invocation Options|Warlock|XPHB|1"", ""Magical Cunning|Warlock|XPHB|2"", {""classFeature"": ""Warlock Subclass|Warlock|XPHB|3"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Warlock|XPHB|4"", {""classFeature"": ""Subclass Feature|Warlock|XPHB|6"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Warlock|XPHB|8"", ""Contact Patron|Warlock|XPHB|9"", {""classFeature"": ""Subclass Feature|Warlock|XPHB|10"", ""gainSubclassFeature"": true}, ""Mystic Arcanum|Warlock|XPHB|11"", ""Ability Score Improvement|Warlock|XPHB|12"", ""Mystic Arcanum|Warlock|XPHB|13"", {""classFeature"": ""Subclass Feature|Warlock|XPHB|14"", ""gainSubclassFeature"": true}, ""Mystic Arcanum|Warlock|XPHB|15"", ""Ability Score Improvement|Warlock|XPHB|16"", ""Mystic Arcanum|Warlock|XPHB|17"", ""Epic Boon|Warlock|XPHB|19"", ""Eldritch Master|Warlock|XPHB|20""]","{""proficienciesGained"": {""armor"": [""light""]}}"
