Name,Source,Type,IsBaseItem,Rarity,Weight,Value,RequiresAttunement,Description,Property,Damage,DamageType,ArmorClass
Alchemist's Supplies,XPHB,AT|XPHB,True,none,8,5000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Intelligence""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Identify a substance ({@dc 15}), or start a fire ({@dc 15})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Acid|XPHB}, {@item Alchemist's Fire|XPHB}, {@item Component Pouch|XPHB}, {@item Oil|XPHB}, {@item Paper|XPHB}, {@item Perfume|XPHB}""]}]}]",,,,
Arrow,XPHB,A|XPHB,True,none,0.05,5,,"[""Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Arrows are typically stored in a {@item Quiver|XPHB} (bought separately).""]",,,,
Arrows (20),XPHB,A|XPHB,True,none,1,100,,"[""Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Arrows are typically stored in a {@item Quiver|XPHB} (bought separately).""]",,,,
Bagpipes,XPHB,INS|XPHB,True,none,6,3000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Charisma""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Play a known tune ({@dc 10}), or improvise a song ({@dc 15})""]}]}]",,,,
Battleaxe,XPHB,M|XPHB,True,none,4,1000,,,"[""V|XPHB""]",1d8,S,
Blowgun,XPHB,R|XPHB,True,none,1,1000,,,"[""A|XPHB"", ""LD|XPHB""]",1,P,
Bolt,XPHB,A|XPHB,True,none,0.075,5,,"[""Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Bolts are typically stored in a {@item Crossbow Bolt Case|XPHB} (bought separately).""]",,,,
Bolts (20),XPHB,A|XPHB,True,none,1.5,100,,"[""Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Bolts are typically stored in a {@item Crossbow Bolt Case|XPHB} (bought separately).""]",,,,
Breastplate,XPHB,MA|XPHB,True,none,20,40000,,,,,,14
Brewer's Supplies,XPHB,AT|XPHB,True,none,9,2000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Intelligence""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Detect poisoned drink ({@dc 15}), or identify alcohol ({@dc 10})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Antitoxin|XPHB}""]}]}]",,,,
