Name,Source,ClassName,ClassSource,SubclassShortName,SubclassSource,Level,Description
Life Domain,PHB,Cleric,PHB,Life,PHB,1,"[""The Life domain focuses on the vibrant positive energy—one of the fundamental forces of the universe—that sustains all life. The gods of life promote vitality and health through healing the sick and wounded, caring for those in need, and driving away the forces of death and undeath. Almost any non-evil deity can claim influence over this domain, particularly agricultural deities (such as {@deity Chauntea}, {@deity Arawai|Eberron}, and {@deity Demeter|Greek}), sun gods (such as {@deity Lathander}, {@deity Pelor|Greyhawk}, and {@deity Re-Horakhty|Egyptian}), gods of healing or endurance (such as {@deity Ilmater}, {@deity Mishakal|Dragonlance}, {@deity Apollo|Greek}, and {@deity Diancecht|Celtic}), and gods of home and community (such as {@deity Hestia|Greek}, {@deity Hathor|Egyptian}, and {@deity Boldrei|Eberron})."", ""At each indicated cleric level, you add the listed spells to your spells prepared."", {""type"": ""table"", ""caption"": ""Life Domain Spells"", ""colLabels"": [""Cleric Level"", ""Spells""], ""colStyles"": [""col-2 text-center"", ""col-10""], ""rows"": [[""1st"", ""{@spell bless}, {@spell cure wounds}""], [""3rd"", ""{@spell lesser restoration}, {@spell spiritual weapon}""], [""5th"", ""{@spell beacon of hope}, {@spell revivify}""], [""7th"", ""{@spell death ward}, {@spell guardian of faith}""], [""9th"", ""{@spell mass cure wounds}, {@spell raise dead}""]]}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Bonus Proficiency|Cleric||Life||1""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Disciple of Life|Cleric||Life||1""}]"
Bonus Proficiency,PHB,Cleric,PHB,Life,PHB,1,"[""When you choose this domain at 1st level, you gain proficiency with heavy armor.""]"
Disciple of Life,PHB,Cleric,PHB,Life,PHB,1,"[""Also starting at 1st level, your healing spells are more effective. Whenever you use a spell of 1st level or higher to restore hit points to a creature, the creature regains additional hit points equal to 2 + the spell's level.""]"
Channel Divinity: Preserve Life,PHB,Cleric,PHB,Life,PHB,2,"[""Starting at 2nd level, you can use your Channel Divinity to heal the badly injured."", ""As an action, you present your holy symbol and evoke healing energy that can restore a number of hit points equal to five times your cleric level. Choose any creatures within 30 feet of you, and divide those hit points among them. This feature can restore a creature to no more than half of its hit point maximum. You can't use this feature on an undead or a construct.""]"
Blessed Healer,PHB,Cleric,PHB,Life,PHB,6,"[""Beginning at 6th level, the healing spells you cast on others heal you as well. When you cast a spell of 1st level or higher that restores hit points to a creature other than you, you regain hit points equal to 2 + the spell's level.""]"
Divine Strike,PHB,Cleric,PHB,Life,PHB,8,"[""At 8th level, you gain the ability to infuse your weapon strikes with divine energy. Once on each of your turns when you hit a creature with a weapon attack, you can cause the attack to deal an extra {@damage 1d8} radiant damage to the target. When you reach 14th level, the extra damage increases to {@damage 2d8}.""]"
Supreme Healing,PHB,Cleric,PHB,Life,PHB,17,"[""Starting at 17th level, when you would normally roll one or more dice to restore hit points with a spell, you instead use the highest number possible for each die. For example, instead of restoring {@dice 2d6} hit points to a creature, you restore 12.""]"
Path of the Berserker,PHB,Barbarian,PHB,Berserker,PHB,3,"[""For some barbarians, rage is a means to an end—that end being violence. The Path of the Berserker is a path of untrammeled fury, slick with blood. As you enter the berserker's rage, you thrill in the chaos of battle, heedless of your own health or well-being."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Frenzy|Barbarian||Berserker||3""}]"
Frenzy,PHB,Barbarian,PHB,Berserker,PHB,3,"[""Starting when you choose this path at 3rd level, you can go into a frenzy when you rage. If you do so, for the duration of your rage you can make a single melee weapon attack as a bonus action on each of your turns after this one. When your rage ends, you suffer one level of {@condition exhaustion}.""]"
Mindless Rage,PHB,Barbarian,PHB,Berserker,PHB,6,"[""Beginning at 6th level, you can't be {@condition charmed} or {@condition frightened} while raging. If you are {@condition charmed} or {@condition frightened} when you enter your rage, the effect is suspended for the duration of the rage.""]"
Intimidating Presence,PHB,Barbarian,PHB,Berserker,PHB,10,"[""Beginning at 10th level, you can use your action to frighten someone with your menacing presence. When you do so, choose one creature that you can see within 30 feet of you. If the creature can see or hear you, it must succeed on a Wisdom saving throw (DC equal to 8 + your proficiency bonus + your Charisma modifier) or be {@condition frightened} of you until the end of your next turn. On subsequent turns, you can use your action to extend the duration of this effect on the {@condition frightened} creature until the end of your next turn. This effect ends if the creature ends its turn out of line of sight or more than 60 feet away from you."", ""If the creature succeeds on its saving throw, you can't use this feature on that creature again for 24 hours.""]"
Retaliation,PHB,Barbarian,PHB,Berserker,PHB,14,"[""Starting at 14th level, when you take damage from a creature that is within 5 feet of you, you can use your reaction to make a melee weapon attack against that creature.""]"
Draconic Bloodline,PHB,Sorcerer,PHB,Draconic,PHB,1,"[""Your innate magic comes from draconic magic that was mingled with your blood or that of your ancestors. Most often, sorcerers with this origin trace their descent back to a mighty sorcerer of ancient times who made a bargain with a dragon or who might even have claimed a dragon parent. Some of these bloodlines are well established in the world, but most are obscure. Any given sorcerer could be the first of a new bloodline, as a result of a pact or some other exceptional circumstance."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Dragon Ancestor|Sorcerer||Draconic||1""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Draconic Resilience|Sorcerer||Draconic||1""}]"
Draconic Resilience,PHB,Sorcerer,PHB,Draconic,PHB,1,"[""As magic flows through your body, it causes physical traits of your dragon ancestors to emerge. At 1st level, your hit point maximum increases by 1 and increases by 1 again whenever you gain a level in this class."", ""Additionally, parts of your skin are covered by a thin sheen of dragon-like scales. When you aren't wearing armor, your AC equals 13 + your Dexterity modifier.""]"
Dragon Ancestor,PHB,Sorcerer,PHB,Draconic,PHB,1,"[""At 1st level, you choose one type of dragon as your ancestor. The damage type associated with each dragon is used by features you gain later."", {""type"": ""table"", ""caption"": ""Draconic Ancestry"", ""colLabels"": [""Dragon"", ""Damage Type""], ""colStyles"": [""col-6 text-center"", ""col-6 text-center""], ""rows"": [[""Black"", ""{@filter Acid|spells|damage type=acid|class=sorcerer}""], [""Blue"", ""{@filter Lightning|spells|damage type=lightning|class=sorcerer}""], [""Brass"", ""{@filter Fire|spells|damage type=fire|class=sorcerer}""], [""Bronze"", ""{@filter Lightning|spells|damage type=lightning|class=sorcerer}""], [""Copper"", ""{@filter Acid|spells|damage type=acid|class=sorcerer}""], [""Gold"", ""{@filter Fire|spells|damage type=fire|class=sorcerer}""], [""Green"", ""{@filter Poison|spells|damage type=poison|class=sorcerer}""], [""Red"", ""{@filter Fire|spells|damage type=fire|class=sorcerer}""], [""Silver"", ""{@filter Cold|spells|damage type=cold|class=sorcerer}""], [""White"", ""{@filter Cold|spells|damage type=cold|class=sorcerer}""]]}, ""You can speak, read, and write {@language Draconic}. Additionally, whenever you make a Charisma check when interacting with dragons, your proficiency bonus is doubled if it applies to the check.""]"
Elemental Affinity,PHB,Sorcerer,PHB,Draconic,PHB,6,"[""Starting at 6th level, when you cast a spell that deals damage of the type associated with your draconic ancestry, you can add your Charisma modifier to one damage roll of that spell. At the same time, you can spend 1 sorcery point to gain resistance to that damage type for 1 hour.""]"
Dragon Wings,PHB,Sorcerer,PHB,Draconic,PHB,14,"[""At 14th level, you gain the ability to sprout a pair of dragon wings from your back, gaining a flying speed equal to your current speed. You can create these wings as a bonus action on your turn. They last until you dismiss them as a bonus action on your turn."", ""You can't manifest your wings while wearing armor unless the armor is made to accommodate them, and clothing not made to accommodate your wings might be destroyed when you manifest them.""]"
Draconic Presence,PHB,Sorcerer,PHB,Draconic,PHB,18,"[""Beginning at 18th level, you can channel the dread presence of your dragon ancestor, causing those around you to become awestruck or {@condition frightened}. As an action, you can spend 5 sorcery points to draw on this power and exude an aura of awe or fear (your choice) to a distance of 60 feet. For 1 minute or until you lose your {@status concentration} (as if you were casting a {@status concentration} spell), each hostile creature that starts its turn in this aura must succeed on a Wisdom saving throw or be {@condition charmed} (if you chose awe) or {@condition frightened} (if you chose fear) until the aura ends. A creature that succeeds on this saving throw is immune to your aura for 24 hours.""]"
College of Lore,PHB,Bard,PHB,Lore,PHB,3,"[""Bards of the College of Lore know something about most things, collecting bits of knowledge from sources as diverse as scholarly tomes and peasant tales. Whether singing folk ballads in taverns or elaborate compositions in royal courts, these bards use their gifts to hold audiences spellbound. When the applause dies down, the audience members might find themselves questioning everything they held to be true, from their faith in the priesthood of the local temple to their loyalty to the king."", ""The loyalty of these bards lies in the pursuit of beauty and truth, not in fealty to a monarch or following the tenets of a deity. A noble who keeps such a bard as a herald or advisor knows that the bard would rather be honest than politic."", ""The college's members gather in libraries and sometimes in actual colleges, complete with classrooms and dormitories, to share their lore with one another. They also meet at festivals or affairs of state, where they can expose corruption, unravel lies, and poke fun at self-important figures of authority."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Bonus Proficiencies|Bard||Lore||3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Cutting Words|Bard||Lore||3""}]"
Bonus Proficiencies,PHB,Bard,PHB,Lore,PHB,3,"[""When you join the College of Lore at 3rd level, you gain proficiency with three skills of your choice.""]"
Cutting Words,PHB,Bard,PHB,Lore,PHB,3,"[""Also at 3rd level, you learn how to use your wit to distract, confuse, and otherwise sap the confidence and competence of others. When a creature that you can see within 60 feet of you makes an attack roll, an ability check, or a damage roll, you can use your reaction to expend one of your uses of Bardic Inspiration, rolling a Bardic Inspiration die and subtracting the number rolled from the creature's roll. You can choose to use this feature after the creature makes its roll, but before the DM determines whether the attack roll or ability check succeeds or fails, or before the creature deals its damage. The creature is immune if it can't hear you or if it's immune to being {@condition charmed}.""]"
Additional Magical Secrets,PHB,Bard,PHB,Lore,PHB,6,"[""At 6th level, you learn two spells of your choice from any class. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip. The chosen spells count as bard spells for you but don't count against the number of bard spells you know.""]"
Peerless Skill,PHB,Bard,PHB,Lore,PHB,14,"[""Starting at 14th level, when you make an ability check, you can expend one use of Bardic Inspiration. Roll a Bardic Inspiration die and add the number rolled to your ability check. You can choose to do so after you roll the die for the ability check, but before the DM tells you whether you succeed or fail.""]"
Champion,PHB,Fighter,PHB,Champion,PHB,3,"[""The archetypal Champion focuses on the development of raw physical power honed to deadly perfection. Those who model themselves on this archetype combine rigorous training with physical excellence to deal devastating blows."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Improved Critical|Fighter||Champion||3""}]"
Improved Critical,PHB,Fighter,PHB,Champion,PHB,3,"[""Beginning when you choose this archetype at 3rd level, your weapon attacks score a critical hit on a roll of 19 or 20.""]"
Remarkable Athlete,PHB,Fighter,PHB,Champion,PHB,7,"[""Starting at 7th level, you can add half your proficiency bonus (round up) to any Strength, Dexterity, or Constitution check you make that doesn't already use your proficiency bonus."", ""In addition, when you make a running long jump, the distance you can cover increases by a number of feet equal to your Strength modifier.""]"
Additional Fighting Style,PHB,Fighter,PHB,Champion,PHB,10,"[""At 10th level, you can choose a second option from the Fighting Style class feature.""]"
Superior Critical,PHB,Fighter,PHB,Champion,PHB,15,"[""Starting at 15th level, your weapon attacks score a critical hit on a roll of 18-20.""]"
Survivor,PHB,Fighter,PHB,Champion,PHB,18,"[""At 18th level, you attain the pinnacle of resilience in battle. At the start of each of your turns, you regain hit points equal to 5 + your Constitution modifier if you have no more than half of your hit points left. You don't gain this benefit if you have 0 hit points.""]"
School of Evocation,PHB,Wizard,PHB,Evocation,PHB,2,"[""You focus your study on magic that creates powerful elemental effects such as bitter cold, searing flame, rolling thunder, crackling lightning, and burning acid. Some evokers find employment in military forces, serving as artillery to blast enemy armies from afar. Others use their spectacular power to protect the weak, while some seek their own gain as bandits, adventurers, or aspiring tyrants."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Evocation Savant|Wizard||Evocation||2""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Sculpt Spells|Wizard||Evocation||2""}]"
Evocation Savant,PHB,Wizard,PHB,Evocation,PHB,2,"[""Beginning when you select this school at 2nd level, the gold and time you must spend to copy an evocation spell into your spellbook is halved.""]"
Sculpt Spells,PHB,Wizard,PHB,Evocation,PHB,2,"[""Beginning at 2nd level, you can create pockets of relative safety within the effects of your evocation spells. When you cast an evocation spell that affects other creatures that you can see, you can choose a number of them equal to 1 + the spell's level. The chosen creatures automatically succeed on their saving throws against the spell, and they take no damage if they would normally take half damage on a successful save.""]"
Potent Cantrip,PHB,Wizard,PHB,Evocation,PHB,6,"[""Starting at 6th level, your damaging cantrips affect even creatures that avoid the brunt of the effect. When a creature succeeds on a saving throw against your cantrip, the creature takes half the cantrip's damage (if any) but suffers no additional effect from the cantrip.""]"
Empowered Evocation,PHB,Wizard,PHB,Evocation,PHB,10,"[""Beginning at 10th level, you can add your Intelligence modifier to one damage roll of any wizard evocation spell you cast.""]"
Overchannel,PHB,Wizard,PHB,Evocation,PHB,14,"[""Starting at 14th level, you can increase the power of your simpler spells. When you cast a wizard spell of 1st through 5th-level that deals damage, you can deal maximum damage with that spell."", ""The first time you do so, you suffer no adverse effect. If you use this feature again before you finish a long rest, you take {@damage 2d12} necrotic damage for each level of the spell, immediately after you cast it. Each time you use this feature again before finishing a long rest, the necrotic damage per spell level increases by {@damage 1d12}. This damage ignores resistance and immunity.""]"
Way of the Open Hand,PHB,Monk,PHB,Open Hand,PHB,3,"[""Monks of the Way of the Open Hand are the ultimate masters of martial arts combat, whether armed or unarmed. They learn techniques to push and trip their opponents, manipulate ki to heal damage to their bodies, and practice advanced meditation that can protect them from harm."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Open Hand Technique|Monk||Open Hand||3""}]"
Open Hand Technique,PHB,Monk,PHB,Open Hand,PHB,3,"[""You can manipulate your enemy's ki when you harness your own. Whenever you hit a creature with one of the attacks granted by your Flurry of Blows, you can impose one of the following effects on that target."", {""type"": ""list"", ""items"": [""It must succeed on a Dexterity saving throw or be knocked {@condition prone}."", ""It must make a Strength saving throw. If it fails, you can push it up to 15 feet away from you."", ""It can't take reactions until the end of your next turn.""]}]"
Wholeness of Body,PHB,Monk,PHB,Open Hand,PHB,6,"[""You gain the ability to heal yourself. As an action, you can regain hit points equal to three times your monk level. You must finish a long rest before you can use this feature again.""]"
Tranquility,PHB,Monk,PHB,Open Hand,PHB,11,"[""Beginning at 11th level, you can enter a special meditation that surrounds you with an aura of peace. At the end of a long rest, you gain the effect of a {@spell sanctuary} spell that lasts until the start of your next long rest (the spell can end early as normal). The saving throw DC for the spell equals 8 + your Wisdom modifier + your proficiency bonus.""]"
Quivering Palm,PHB,Monk,PHB,Open Hand,PHB,17,"[""You gain the ability to set up lethal vibrations in someone's body. When you hit a creature with an unarmed strike, you can spend 3 ki points to start these imperceptible vibrations, which last for a number of days equal to your monk level. The vibrations are harmless unless you use your action to end them. To do so, you and the target must be on the same plane of existence. When you use this action, the creature must make a Constitution saving throw. If it fails, it is reduced to 0 hit points. If it succeeds, it takes {@damage 10d10} necrotic damage."", ""You can have only one creature under the effect of this feature at a time. You can choose to end the vibrations harmlessly without using an action.""]"
Thief,PHB,Rogue,PHB,Thief,PHB,3,"[""You hone your skills in the larcenous arts. Burglars, bandits, cutpurses, and other criminals typically follow this archetype, but so do rogues who prefer to think of themselves as professional treasure seekers, explorers, delvers, and investigators. In addition to improving your agility and stealth, you learn skills useful for delving into ancient ruins, reading unfamiliar languages, and using magic items you normally couldn't employ."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Fast Hands|Rogue||Thief||3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Second-Story Work|Rogue||Thief||3""}]"
Fast Hands,PHB,Rogue,PHB,Thief,PHB,3,"[""Starting at 3rd level, you can use the bonus action granted by your Cunning Action to make a Dexterity ({@skill Sleight of Hand}) check, use your {@item thieves' tools|phb} to disarm a trap or open a lock, or take the {@action Use an Object} action.""]"
Second-Story Work,PHB,Rogue,PHB,Thief,PHB,3,"[""When you choose this archetype at 3rd level, you gain the ability to climb faster than normal; climbing no longer costs you extra movement."", ""In addition, when you make a running jump, the distance you cover increases by a number of feet equal to your Dexterity modifier.""]"
Supreme Sneak,PHB,Rogue,PHB,Thief,PHB,9,"[""Starting at 9th level, you have advantage on a Dexterity ({@skill Stealth}) check if you move no more than half your speed on the same turn.""]"
Use Magic Device,PHB,Rogue,PHB,Thief,PHB,13,"[""By 13th level, you have learned enough about the workings of magic that you can improvise the use of items even when they are not intended for you. You ignore all class, race, and level requirements on the use of magic items.""]"
