Name,Source,ClassName,ClassSource,Level,Description
Divine Domain,PHB,Cleric,PHB,1,"[""Choose one domain related to your deity from the list of available domains. Each domain is detailed in their own feature, and each one provides examples of gods associated with it. Your choice grants you domain spells and other features when you choose it at 1st level. It also grants you additional ways to use Channel Divinity when you gain that feature at 2nd level, and additional benefits at 6th, 8th, and 17th levels."", {""type"": ""entries"", ""name"": ""Domain Spells"", ""entries"": [""Each domain has a list of spells—its domain spells—that you gain at the cleric levels noted in the domain description. Once you gain a domain spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day."", ""If you have a domain spell that doesn't appear on the cleric spell list, the spell is nonetheless a cleric spell for you.""]}]"
Spellcasting,PHB,Cleric,PHB,1,"[""As a conduit for divine power, you can cast cleric spells. See {@book chapter 10|PHB|10} for the general rules of spellcasting and {@book chapter 11|PHB|11} for a selection of {@filter cleric spells|spells|class=cleric}."", {""type"": ""entries"", ""name"": ""Cantrips"", ""entries"": [""At 1st level, you know three cantrips of your choice from the cleric spell list. You learn additional cleric cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Cleric table.""]}, {""type"": ""entries"", ""name"": ""Preparing and Casting Spells"", ""entries"": [""The Cleric table shows how many spell slots you have to cast your {@filter cleric spells|spells|class=cleric} of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest."", ""You prepare the list of cleric spells that are available for you to cast, choosing from the cleric spell list. When you do so, choose a number of cleric spells equal to your Wisdom modifier + your cleric level (minimum of one spell). The spells must be of a level for which you have spell slots."", ""For example, if you are a 3rd-level cleric, you have four 1st-level and two 2nd-level spell slots. With a Wisdom of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination. If you prepare the 1st-level spell {@spell cure wounds}, you can cast it using a 1st-level or 2nd-level slot. Casting the spell doesn't remove it from your list of prepared spells."", ""You can change your list of prepared spells when you finish a long rest. Preparing a new list of cleric spells requires time spent in prayer and meditation: at least 1 minute per spell level for each spell on your list.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Ability"", ""entries"": [""Wisdom is your spellcasting ability for your cleric spells. The power of your spells comes from your devotion to your deity. You use your Wisdom whenever a cleric spell refers to your spellcasting ability. In addition, you use your Wisdom modifier when setting the saving throw DC for a cleric spell you cast and when making an attack roll with one."", {""type"": ""abilityDc"", ""name"": ""Spell"", ""attributes"": [""wis""]}, {""type"": ""abilityAttackMod"", ""name"": ""Spell"", ""attributes"": [""wis""]}]}, {""type"": ""entries"", ""name"": ""Ritual Casting"", ""entries"": [""You can cast a cleric spell as a ritual if that spell has the ritual tag and you have the spell prepared.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Focus"", ""entries"": [""You can use a {@item holy symbol|phb} as a spellcasting focus for your cleric spells.""]}]"
Channel Divinity,PHB,Cleric,PHB,2,"[""At 2nd level, you gain the ability to channel divine energy directly from your deity, using that energy to fuel magical effects. You start with two such effects: Turn Undead and an effect determined by your domain. Some domains grant you additional effects as you advance in levels, as noted in the domain description."", ""When you use your Channel Divinity, you choose which effect to create. You must then finish a short or long rest to use your Channel Divinity again."", ""Some Channel Divinity effects require saving throws. When you use such an effect from this class, the DC equals your cleric spell save DC."", ""Beginning at 6th level, you can use your Channel Divinity twice between rests, and beginning at 18th level, you can use it three times between rests. When you finish a short or long rest, you regain your expended uses."", {""type"": ""refClassFeature"", ""classFeature"": ""Channel Divinity: Turn Undead|Cleric||2""}]"
Channel Divinity: Turn Undead,PHB,Cleric,PHB,2,"[""As an action, you present your holy symbol and speak a prayer censuring the undead. Each undead that can see or hear you within 30 feet of you must make a Wisdom saving throw. If the creature fails its saving throw, it is turned for 1 minute or until it takes any damage."", ""A turned creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the {@action Dash} action or try to escape from an effect that prevents it from moving. If there's nowhere to move, the creature can use the {@action Dodge} action.""]"
Divine Domain feature,PHB,Cleric,PHB,2,"[""At 2nd level, you gain a feature from your Divine Domain.""]"
Ability Score Improvement,PHB,Cleric,PHB,4,"[""When you reach 4th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Destroy Undead (CR 1/2),PHB,Cleric,PHB,5,"[""Starting at 5th level, when an {@filter undead of CR 1/2 or lower|bestiary|challenge rating=[&0;&1/2]|type=undead|miscellaneous=!swarm} fails its saving throw against your Turn Undead feature, the creature is instantly destroyed.""]"
Channel Divinity,PHB,Cleric,PHB,6,"[""Beginning at 6th level, you can use your Channel Divinity twice between rests.""]"
Divine Domain feature,PHB,Cleric,PHB,6,"[""At 6th level, you gain a feature from your Divine Domain.""]"
Ability Score Improvement,PHB,Cleric,PHB,8,"[""When you reach 8th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Destroy Undead (CR 1),PHB,Cleric,PHB,8,"[""Starting at 8th level, when an {@filter undead of CR 1 or lower|bestiary|challenge rating=[&0;&1]|type=undead|miscellaneous=!swarm} fails its saving throw against your Turn Undead feature, the creature is instantly destroyed.""]"
Divine Domain feature,PHB,Cleric,PHB,8,"[""At 8th level, you gain a feature from your Divine Domain.""]"
