Name,Source,Size,Type,Alignment,AC,HP,Speed,STR,DEX,CON,INT,WIS,CHA,Save,Skill,Passive Perception,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Spellcasting
Avatar of Death,DMG,"[""M""]",undead,"[""N"", ""E""]",[20],"{""special"": ""half the hit point maximum of its summoner""}","{""walk"": 60, ""fly"": {""number"": 60, ""condition"": ""(hover)""}, ""canHover"": true}",16,16,16,16,16,16,,,13,"[""all languages known to its summoner""]",,"[{""name"": ""Incorporeal Movement"", ""entries"": [""The avatar can move through other creatures and objects as if they were {@quickref difficult terrain||3}. It takes 5 ({@damage 1d10}) force damage if it ends its turn inside an object.""]}, {""name"": ""Turn Immunity"", ""entries"": [""The avatar is immune to features that turn undead.""]}]","[{""name"": ""Reaping Scythe"", ""entries"": [""The avatar sweeps its spectral scythe through a creature within 5 feet of it, dealing 7 ({@damage 1d8 + 3}) slashing damage plus 4 ({@damage 1d8}) necrotic damage.""]}]",,,,
Aboleth,MM,"[""L""]",aberration,"[""L"", ""E""]","[{""ac"": 17, ""from"": [""natural armor""]}]","{""average"": 135, ""formula"": ""18d10 + 36""}","{""walk"": 10, ""swim"": 40}",21,9,15,18,15,18,"{""con"": ""+6"", ""int"": ""+8"", ""wis"": ""+6""}","{""history"": ""+12"", ""perception"": ""+10""}",20,"[""Deep Speech"", ""telepathy 120 ft.""]",10,"[{""name"": ""Amphibious"", ""entries"": [""The aboleth can breathe air and water.""]}, {""name"": ""Mucous Cloud"", ""entries"": [""While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a {@dc 14} Constitution saving throw. On a failure, the creature is diseased for {@dice 1d4} hours. The diseased creature can breathe only underwater.""]}, {""name"": ""Probing Telepathy"", ""entries"": [""If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The aboleth makes three tentacle attacks.""]}, {""name"": ""Tentacle"", ""entries"": [""{@atk mw} {@hit 9} to hit, reach 10 ft., one target. {@h}12 ({@damage 2d6 + 5}) bludgeoning damage. If the target is a creature, it must succeed on a {@dc 14} Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by {@spell heal} or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 ({@damage 1d12}) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 9} to hit, reach 10 ft., one target. {@h}15 ({@damage 3d6 + 5}) bludgeoning damage.""]}, {""name"": ""Enslave (3/Day)"", ""entries"": [""The aboleth targets one creature it can see within 30 feet of it. The target must succeed on a {@dc 14} Wisdom saving throw or be magically {@condition charmed} by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The {@condition charmed} target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance."", ""Whenever the {@condition charmed} target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The aboleth makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Swipe"", ""entries"": [""The aboleth makes one tail attack.""]}, {""name"": ""Psychic Drain (Costs 2 Actions)"", ""entries"": [""One creature {@condition charmed} by the aboleth takes 10 ({@damage 3d6}) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.""]}]",
Acolyte,MM,"[""M""]","{""type"": ""humanoid"", ""tags"": [""any race""]}","[""A""]",[10],"{""average"": 9, ""formula"": ""2d8""}","{""walk"": 30}",10,10,10,10,14,11,,"{""medicine"": ""+4"", ""religion"": ""+2""}",12,"[""any one language (usually Common)""]",1/4,,"[{""name"": ""Club"", ""entries"": [""{@atk mw} {@hit 2} to hit, reach 5 ft., one target. {@h}2 ({@damage 1d4}) bludgeoning damage.""]}]",,,,"[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save {@dc 12}, {@hit 4} to hit with spell attacks). The acolyte has following cleric spells prepared:""], ""spells"": {""0"": {""spells"": [""{@spell light}"", ""{@spell sacred flame}"", ""{@spell thaumaturgy}""]}, ""1"": {""slots"": 3, ""spells"": [""{@spell bless}"", ""{@spell cure wounds}"", ""{@spell sanctuary}""]}}, ""ability"": ""wis""}]"
Adult Black Dragon,MM,"[""H""]",dragon,"[""C"", ""E""]","[{""ac"": 19, ""from"": [""natural armor""]}]","{""average"": 195, ""formula"": ""17d12 + 85""}","{""walk"": 40, ""fly"": 80, ""swim"": 40}",23,14,21,14,13,17,"{""dex"": ""+7"", ""con"": ""+10"", ""wis"": ""+6"", ""cha"": ""+8""}","{""perception"": ""+11"", ""stealth"": ""+7""}",21,"[""Common"", ""Draconic""]",14,"[{""name"": ""Amphibious"", ""entries"": [""The dragon can breathe air and water.""]}, {""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 10 ft., one target. {@h}17 ({@damage 2d10 + 6}) piercing damage plus 4 ({@damage 1d8}) acid damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 5 ft., one target. {@h}13 ({@damage 2d6 + 6}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 15 ft., one target. {@h}15 ({@damage 2d8 + 6}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 16} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Acid Breath {@recharge 5}"", ""entries"": [""The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a {@dc 18} Dexterity saving throw, taking 54 ({@damage 12d8}) acid damage on a failed save, or half as much damage on a successful one.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a {@dc 19} Dexterity saving throw or take 13 ({@damage 2d6 + 6}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Adult Blue Dragon,MM,"[""H""]",dragon,"[""L"", ""E""]","[{""ac"": 19, ""from"": [""natural armor""]}]","{""average"": 225, ""formula"": ""18d12 + 108""}","{""walk"": 40, ""burrow"": 30, ""fly"": 80}",25,10,23,16,15,19,"{""dex"": ""+5"", ""con"": ""+11"", ""wis"": ""+7"", ""cha"": ""+9""}","{""perception"": ""+12"", ""stealth"": ""+5""}",22,"[""Common"", ""Draconic""]",16,"[{""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 12} to hit, reach 10 ft., one target. {@h}18 ({@damage 2d10 + 7}) piercing damage plus 5 ({@damage 1d10}) lightning damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 12} to hit, reach 5 ft., one target. {@h}14 ({@damage 2d6 + 7}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 12} to hit, reach 15 ft., one target. {@h}16 ({@damage 2d8 + 7}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 17} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Lightning Breath {@recharge 5}"", ""entries"": [""The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a {@dc 19} Dexterity saving throw, taking 66 ({@damage 12d10}) lightning damage on a failed save, or half as much damage on a successful one.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a {@dc 20} Dexterity saving throw or take 14 ({@damage 2d6 + 7}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Adult Brass Dragon,MM,"[""H""]",dragon,"[""C"", ""G""]","[{""ac"": 18, ""from"": [""natural armor""]}]","{""average"": 172, ""formula"": ""15d12 + 75""}","{""walk"": 40, ""burrow"": 40, ""fly"": 80}",23,10,21,14,13,17,"{""dex"": ""+5"", ""con"": ""+10"", ""wis"": ""+6"", ""cha"": ""+8""}","{""history"": ""+7"", ""perception"": ""+11"", ""persuasion"": ""+8"", ""stealth"": ""+5""}",21,"[""Common"", ""Draconic""]",13,"[{""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 10 ft., one target. {@h}17 ({@damage 2d10 + 6}) piercing damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 5 ft., one target. {@h}13 ({@damage 2d6 + 6}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 15 ft., one target. {@h}15 ({@damage 2d8 + 6}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 16} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Breath Weapons {@recharge 5}"", ""entries"": [""The dragon uses one of the following breath weapons."", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""Fire Breath"", ""entry"": ""The dragon exhales fire in a 60-foot line that is 5 feet wide. Each creature in that line must make a {@dc 18} Dexterity saving throw, taking 45 ({@damage 13d6}) fire damage on a failed save, or half as much damage on a successful one.""}, {""type"": ""item"", ""name"": ""Sleep Breath"", ""entry"": ""The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a {@dc 18} Constitution saving throw or fall {@condition unconscious} for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.""}]}]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a {@dc 19} Dexterity saving throw or take 13 ({@damage 2d6 + 6}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Adult Bronze Dragon,MM,"[""H""]",dragon,"[""L"", ""G""]","[{""ac"": 19, ""from"": [""natural armor""]}]","{""average"": 212, ""formula"": ""17d12 + 102""}","{""walk"": 40, ""fly"": 80, ""swim"": 40}",25,10,23,16,15,19,"{""dex"": ""+5"", ""con"": ""+11"", ""wis"": ""+7"", ""cha"": ""+9""}","{""insight"": ""+7"", ""perception"": ""+12"", ""stealth"": ""+5""}",22,"[""Common"", ""Draconic""]",15,"[{""name"": ""Amphibious"", ""entries"": [""The dragon can breathe air and water.""]}, {""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 12} to hit, reach 10 ft., one target. {@h}18 ({@damage 2d10 + 7}) piercing damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 12} to hit, reach 5 ft., one target. {@h}14 ({@damage 2d6 + 7}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 12} to hit, reach 15 ft., one target. {@h}16 ({@damage 2d8 + 7}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 17} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Breath Weapons {@recharge 5}"", ""entries"": [""The dragon uses one of the following breath weapons."", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""Lightning Breath"", ""entry"": ""The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a {@dc 19} Dexterity saving throw, taking 66 ({@damage 12d10}) lightning damage on a failed save, or half as much damage on a successful one.""}, {""type"": ""item"", ""name"": ""Repulsion Breath"", ""entry"": ""The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a {@dc 19} Strength saving throw. On a failed save, the creature is pushed 60 feet away from the dragon.""}]}]}, {""name"": ""Change Shape"", ""entries"": [""The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice)."", ""In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a {@dc 20} Dexterity saving throw or take 14 ({@damage 2d6 + 7}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Adult Copper Dragon,MM,"[""H""]",dragon,"[""C"", ""G""]","[{""ac"": 18, ""from"": [""natural armor""]}]","{""average"": 184, ""formula"": ""16d12 + 80""}","{""walk"": 40, ""climb"": 40, ""fly"": 80}",23,12,21,18,15,17,"{""dex"": ""+6"", ""con"": ""+10"", ""wis"": ""+7"", ""cha"": ""+8""}","{""deception"": ""+8"", ""perception"": ""+12"", ""stealth"": ""+6""}",22,"[""Common"", ""Draconic""]",14,"[{""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 10 ft., one target. {@h}17 ({@damage 2d10 + 6}) piercing damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 5 ft., one target. {@h}13 ({@damage 2d6 + 6}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 15 ft., one target. {@h}15 ({@damage 2d8 + 6}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 16} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Breath Weapons {@recharge 5}"", ""entries"": [""The dragon uses one of the following breath weapons."", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""Acid Breath"", ""entry"": ""The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a {@dc 18} Dexterity saving throw, taking 54 ({@damage 12d8}) acid damage on a failed save, or half as much damage on a successful one.""}, {""type"": ""item"", ""name"": ""Slowing Breath"", ""entry"": ""The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a {@dc 18} Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.""}]}]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a {@dc 19} Dexterity saving throw or take 13 ({@damage 2d6 + 6}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Adult Gold Dragon,MM,"[""H""]",dragon,"[""L"", ""G""]","[{""ac"": 19, ""from"": [""natural armor""]}]","{""average"": 256, ""formula"": ""19d12 + 133""}","{""walk"": 40, ""fly"": 80, ""swim"": 40}",27,14,25,16,15,24,"{""dex"": ""+8"", ""con"": ""+13"", ""wis"": ""+8"", ""cha"": ""+13""}","{""insight"": ""+8"", ""perception"": ""+14"", ""persuasion"": ""+13"", ""stealth"": ""+8""}",24,"[""Common"", ""Draconic""]",17,"[{""name"": ""Amphibious"", ""entries"": [""The dragon can breathe air and water.""]}, {""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 14} to hit, reach 10 ft., one target. {@h}19 ({@damage 2d10 + 8}) piercing damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 14} to hit, reach 5 ft., one target. {@h}15 ({@damage 2d6 + 8}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 14} to hit, reach 15 ft., one target. {@h}17 ({@damage 2d8 + 8}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 21} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Breath Weapons {@recharge 5}"", ""entries"": [""The dragon uses one of the following breath weapons."", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""Fire Breath"", ""entry"": ""The dragon exhales fire in a 60-foot cone. Each creature in that area must make a {@dc 21} Dexterity saving throw, taking 66 ({@damage 12d10}) fire damage on a failed save, or half as much damage on a successful one.""}, {""type"": ""item"", ""name"": ""Weakening Breath"", ""entry"": ""The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a {@dc 21} Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.""}]}]}, {""name"": ""Change Shape"", ""entries"": [""The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice)."", ""In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a {@dc 22} Dexterity saving throw or take 15 ({@damage 2d6 + 8}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Adult Green Dragon,MM,"[""H""]",dragon,"[""L"", ""E""]","[{""ac"": 19, ""from"": [""natural armor""]}]","{""average"": 207, ""formula"": ""18d12 + 90""}","{""walk"": 40, ""fly"": 80, ""swim"": 40}",23,12,21,18,15,17,"{""dex"": ""+6"", ""con"": ""+10"", ""wis"": ""+7"", ""cha"": ""+8""}","{""deception"": ""+8"", ""insight"": ""+7"", ""perception"": ""+12"", ""persuasion"": ""+8"", ""stealth"": ""+6""}",22,"[""Common"", ""Draconic""]",15,"[{""name"": ""Amphibious"", ""entries"": [""The dragon can breathe air and water.""]}, {""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 10 ft., one target. {@h}17 ({@damage 2d10 + 6}) piercing damage plus 7 ({@damage 2d6}) poison damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 5 ft., one target. {@h}13 ({@damage 2d6 + 6}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 11} to hit, reach 15 ft., one target. {@h}15 ({@damage 2d8 + 6}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 16} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Poison Breath {@recharge 5}"", ""entries"": [""The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a {@dc 18} Constitution saving throw, taking 56 ({@damage 16d6}) poison damage on a failed save, or half as much damage on a successful one.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a {@dc 19} Dexterity saving throw or take 13 ({@damage 2d6 + 6}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
