Name,Source,FeatureType,Prerequisite,Description
Agonizing Blast,PHB,"[""EI""]","[{""spell"": [""eldritch blast#c""]}]","[""When you cast {@spell eldritch blast}, add your Charisma modifier to the damage it deals on a hit.""]"
Archery,PHB,"[""FS:F"", ""FS:R""]",,"[""You gain a +2 bonus to attack rolls you make with ranged weapons.""]"
Armor of Shadows,PHB,"[""EI""]",,"[""You can cast {@spell mage armor} on yourself at will, without expending a spell slot or material components.""]"
Ascendant Step,PHB,"[""EI""]","[{""level"": {""level"": 9, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell levitate} on yourself at will, without expending a spell slot or material components.""]"
Beast Speech,PHB,"[""EI""]",,"[""You can cast {@spell speak with animals} at will, without expending a spell slot.""]"
Beguiling Influence,PHB,"[""EI""]",,"[""You gain proficiency in the {@skill Deception} and {@skill Persuasion} skills.""]"
Bewitching Whispers,PHB,"[""EI""]","[{""level"": {""level"": 7, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell compulsion} once using a warlock spell slot. You can't do so again until you finish a long rest.""]"
Book of Ancient Secrets,PHB,"[""EI""]","[{""pact"": ""Tome""}]","[""You can now inscribe magical rituals in your Book of Shadows. Choose two {@filter 1st-level spells that have the ritual tag from any class's spell list|spells|Components & Miscellaneous=ritual|level=1}. The spells needn't be from the same spell list. The spells appear in the book and don't count against the number of spells you know. With your Book of Shadows in hand, you can cast the chosen spells as rituals. You can't cast the spells except as rituals, unless you've learned them by some other means. You can also cast a warlock spell you know as a ritual if it has the ritual tag."", ""On your adventures, you can add other ritual spells to your Book of Shadows. When you find such a spell, you can add it to the book if the spell's level is equal to or less than half your warlock level (rounded up) and if you can spare the time to transcribe the spell. For each level of the spell, the transcription process takes 2 hours and costs 50 gp for the rare inks needed to inscribe it.""]"
Careful Spell,PHB,"[""MM""]",,"[""When you cast a spell that forces other creatures to make a saving throw, you can protect some of those creatures from the spell's full force. To do so, you spend 1 sorcery point and choose a number of those creatures up to your Charisma modifier (minimum of one creature). A chosen creature automatically succeeds on its saving throw against the spell.""]"
Chains of Carceri,PHB,"[""EI""]","[{""pact"": ""Chain"", ""level"": {""level"": 15, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell hold monster} at will—targeting a celestial, fiend, or elemental—without expending a spell slot or material components. You must finish a long rest before you can use this invocation on the same creature again.""]"
Defense,PHB,"[""FS:F"", ""FS:P"", ""FS:R""]",,"[""While you are wearing armor, you gain a +1 bonus to AC.""]"
Devil's Sight,PHB,"[""EI""]",,"[""You can see normally in darkness, both magical and nonmagical, to a distance of 120 feet.""]"
Distant Spell,PHB,"[""MM""]",,"[""When you cast a spell that has a range of 5 feet or greater, you can spend 1 sorcery point to double the range of the spell."", ""When you cast a spell that has a range of touch, you can spend 1 sorcery point to make the range of the spell 30 feet.""]"
Dreadful Word,PHB,"[""EI""]","[{""level"": {""level"": 7, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell confusion} once using a warlock spell slot. You can't do so again until you finish a long rest.""]"
Dueling,PHB,"[""FS:F"", ""FS:B"", ""FS:P"", ""FS:R""]",,"[""When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon.""]"
Eldritch Sight,PHB,"[""EI""]",,"[""You can cast {@spell detect magic} at will, without expending a spell slot.""]"
